연도,유형,기종명,유종명,위반물량(리터),위반금액(원),회수수량(리터),회수금액(원)
2022년,농업용도 외 사용,곡물건조기(순환식),실내등유,300,285000,0,0
2022년,농업용도 외 사용,곡물건조기(순환식),실내등유,455,0,0,0
2022년,농업용도 외 사용,관리기(보행형),휘발유,30,35400,0,0
2022년,농업용도 외 사용,관리기(보행형),휘발유,41,69700,7,11900
2022년,농업용도 외 사용,농산물건조기(겸용형-황색종담배),실내등유,200,278000,0,0
2022년,농업용도 외 사용,농산물건조기(겸용형-황색종담배),실내등유,1000,1500000,0,0
2022년,농업용도 외 사용,농산물건조기(선반형),실내등유,50,76250,400,610000
2022년,농업용도 외 사용,농산물건조기(선반형),실내등유,200,290000,0,0
2022년,농업용도 외 사용,농산물건조기(선반형),실내등유,200,299200,600,897600
2022년,농업용도 외 사용,농산물건조기(선반형),실내등유,275,215875,0,0
2022년,농업용도 외 사용,농산물건조기(선반형),실내등유,400,504400,0,0
2022년,농업용도 외 사용,농산물건조기(선반형),실내등유,750,1050000,0,0
2022년,농업용도 외 사용,농산물건조기(시설형-유류용)_온수보일러,실내등유,750,750000,0,0
2022년,농업용도 외 사용,농업용 트랙터,경유,20,0,0,0
2022년,농업용도 외 사용,농업용 트랙터,경유,400,564000,0,0
2022년,농업용도 외 사용,농업용 트랙터,경유,808,1235432,0,0
2022년,농업용도 외 사용,농업용 트랙터,경유,978,1369200,0,0
2022년,농업용도 외 사용,농업용 트랙터,경유,1000,1537000,0,0
2022년,농업용도 외 사용,농업용로우더(2톤미만),경유,3500,3041500,0,0
2022년,농업용도 외 사용,동력수피기 및 파쇄기,경유,1600,1200000,0,0
2022년,농업용도 외 사용,버섯재배소독기(균상재배),경유,200,316000,0,0
2022년,농업용도 외 사용,버섯재배소독기(균상재배),경유,900,810000,0,0
2022년,농업용도 외 사용,버섯재배소독기(균상재배),경유,1420,1330540,0,0
2022년,농업용도 외 사용,버섯재배소독기(균상재배),경유,2000,2000000,0,0
2022년,농업용도 외 사용,버섯재배소독기(균상재배),경유,2260,2486000,0,0
2022년,농업용도 외 사용,온수보일러(유류용),실내등유,100,97000,253,245410
2022년,농업용도 외 사용,온풍난방기-간접식(유류용),실내등유,40,54960,26896,36955104
2022년,농업용도 외 사용,온풍난방기-간접식(유류용),실내등유,60,54120,0,0
2022년,농업용도 외 사용,온풍난방기-간접식(유류용),실내등유,215,135450,0,0
2022년,농업용도 외 사용,온풍난방기-간접식(유류용),실내등유,280,171640,0,0
2022년,농업용도 외 사용,온풍난방기-간접식(유류용),실내등유,480,408960,0,0
2022년,농업용도 외 사용,온풍난방기-간접식(유류용),실내등유,600,504000,0,0
2022년,농업용도 외 사용,온풍난방기-간접식(유류용),실내등유,1000,902000,0,0
2022년,농업용도 외 사용,콤바인(자탈형-3조이하),경유,55,77000,0,0
2022년,농업용도 외 사용,화물자동차(1톤이하),경유,85,117555,0,0
