연도,유형,기종명,유종명,위반물량(리터),위반금액(원)
2023,농업용도 외 사용,곡물건조기(순환식),실내등유,200,250600
2023,농업용도 외 사용,곡물건조기(순환식),실내등유,906,1309170
2023,농업용도 외 사용,관리기(보행형),휘발유,30,52950
2023,농업용도 외 사용,"농산물건조기(겸용형,황색종담배)",실내등유,395,553000
2023,농업용도 외 사용,농산물건조기(선반형),실내등유,320,411520
2023,농업용도 외 사용,농산물건조기(선반형),실내등유,400,548000
2023,농업용도 외 사용,농산물건조기(선반형),실내등유,200,260000
2023,농업용도 외 사용,농산물건조기(선반형),실내등유,150,189150
2023,농업용도 외 사용,농산물건조기(선반형),실내등유,280,360920
2023,농업용도 외 사용,농업용 굴착기(1톤미만),경유,360,444960
2023,농업용도 외 사용,농업용 트랙터,경유,1771,1753290
2023,농업용도 외 사용,농업용 트랙터,경유,634,928810
2023,농업용도 외 사용,농업용 트랙터,경유,3950,4688650
2023,농업용도 외 사용,농업용 트랙터,경유,1534,1820858
2023,농업용도 외 사용,농업용 트랙터,경유,342,477432
2023,농업용도 외 사용,농업용 트랙터,경유,100,140200
2023,농업용도 외 사용,농업용 트랙터,경유,437,589950
2023,농업용도 외 사용,온수보일러(유류용),실내등유,200,240400
2023,농업용도 외 사용,"온풍난방기,간접식(가스용)",가스(난방),3705,3793920
2023,농업용도 외 사용,"온풍난방기,간접식(가스용)",가스(난방),1000,917000
2023,농업용도 외 사용,"온풍난방기,간접식(가스용)",가스(난방),1957,1495148
2023,농업용도 외 사용,"온풍난방기,간접식(가스용)",가스(난방),1500,1002000
2023,농업용도 외 사용,"온풍난방기,간접식(가스용)",가스(난방),1610,1449000
2023,농업용도 외 사용,"온풍난방기,간접식(가스용)",가스(난방),80,72000
2023,농업용도 외 사용,"온풍난방기,간접식(가스용)",가스(난방),1236,1112400
2023,농업용도 외 사용,"온풍난방기,간접식(가스용)",가스(난방),1756,1578644
2023,농업용도 외 사용,"온풍난방기,간접식(유류용)",실내등유,2510,2899050
2023,농업용도 외 사용,"온풍난방기,간접식(유류용)",실내등유,800,1040000
2023,농업용도 외 사용,"온풍난방기,간접식(유류용)",실내등유,3000,2580000
2023,농업용도 외 사용,"온풍난방기,직화식(가스용),대포형",가스(난방),120,70080
2023,농업용도 외 사용,"온풍난방기,직화식(가스용),대포형",가스(난방),40,30560
2023,농업용도 외 사용,"온풍난방기,직화식(가스용),대포형",가스(난방),393,300252
2023,농업용도 외 사용,"온풍난방기,직화식(가스용),대포형",가스(난방),687,524868
2023,농업용도 외 사용,"온풍난방기,직화식(가스용),대포형",가스(난방),40,36000
2023,농업용도 외 사용,"온풍난방기,직화식(가스용),대포형",가스(난방),98,74872
