연도,유형,기종명,유종명,위반물량(L),위반금액(원)
2024,농업용도 외 사용,경운기,경유,206,232780
2024,농업용도 외 사용,경운기,경유,100,123300
2024,농업용도 외 사용,곡물건조기(순환식),실내등유,388,440380
2024,농업용도 외 사용,관리기(보행형),휘발유,92,96600
2024,농업용도 외 사용,관리기(보행형),휘발유,43,55900
2024,농업용도 외 사용,농 선,휘발유,220,357500
2024,농업용도 외 사용,농산물건조기(선반형),실내등유,750,862500
2024,농업용도 외 사용,농업용 트랙터,경유,277,301376
2024,농업용도 외 사용,농업용 트랙터,경유,430,485900
2024,농업용도 외 사용,농업용 트랙터,경유,579,719697
2024,농업용도 외 사용,농업용 트랙터,경유,296,352240
2024,농업용도 외 사용,동력가지절단기 및 파쇄기,휘발유,633,688704
2024,농업용도 외 사용,동력가지절단기 및 파쇄기,경유,500,576500
2024,농업용도 외 사용,동력수피기 및 파쇄기,경유,1000,1200000
2024,농업용도 외 사용,동력수피기 및 파쇄기,경유,1222,1466400
2024,농업용도 외 사용,버섯재배소독기(살균솥-병/봉지),경유,1350,1309500
2024,농업용도 외 사용,예취기,휘발유,17,22100
2024,농업용도 외 사용,온풍난방기-직화식(유류용)-대포형,실내등유,554,639316
2024,농업용도 외 사용,잔디깎는기계,휘발유,1111,1033230
2024,농업용도 외 사용,잔디깎는기계,휘발유,1886,1804902
2024,농업용도 외 사용,잔디깎는기계,휘발유,948,907236
2024,농업용도 외 사용,잔디깎는기계,휘발유,1135,1287090
2024,농업용도 외 사용,잔디깎는기계,휘발유,48,45552
2024,농업용도 외 사용,잔디깎는기계,휘발유,20,17620
2024,농업용도 외 사용,잔디깎는기계,휘발유,420,390600
2024,농업용도 외 사용,잔디깎는기계,휘발유,40,35240
2024,농업용도 외 사용,잔디깎는기계,휘발유,1410,1298610
2024,농업용도 외 사용,주행형 동력분무기,휘발유,40,52000
2024,농업용도 외 사용,화물자동차(1.2톤이하),경유,1036,1292928
2024,농업용도 외 사용,화물자동차(1.2톤이하),경유,243,263655
